name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,17043,5653,5729,319.3437499216243,,,,"LINESTRING (120.34039175 31.50807605, 120.34039175 31.51269017)",auto;bike;walk,2
,17044,5729,5795,172.3117147763828,,,,"LINESTRING (120.34039175 31.51269017, 120.34039175 31.51730429)",auto;bike;walk,6
,17045,5795,5864,273.07573917166627,,,,"LINESTRING (120.34039175 31.51730429, 120.33302971 31.52191841)",auto;bike;walk,1
,17046,5651,5727,147.39314998045347,4.0,,,"LINESTRING (120.32566766 31.50807605, 120.32566766 31.51269017)",auto;bike;walk,4
,17047,6222,6294,570.7623921910306,,,,"LINESTRING (120.44346039 31.54498902, 120.44346039 31.54960314)",auto;bike;walk,1
,17048,6294,6367,402.8651787722437,,,,"LINESTRING (120.44346039 31.54960314, 120.44346039 31.55421726)",auto;bike;walk,1
,17049,6072,6073,478.41657756374104,2.0,,,"LINESTRING (120.42873629 31.53576077, 120.43609835 31.53576077)",auto;bike;walk,2
,17050,3477,3398,1488.721871071174,,,,"LINESTRING (120.34039175 31.36042417, 120.35511585 31.35581004)",auto;bike;walk,1
,17051,3398,3477,1488.721871071174,,,,"LINESTRING (120.35511585 31.35581004, 120.34039175 31.36042417)",auto;bike;walk,1
,17052,3398,3478,1647.8838068555274,,,,"LINESTRING (120.35511585 31.35581004, 120.36983993 31.36042417)",auto;bike;walk,1
,17053,3478,3398,1647.8838068555278,,,,"LINESTRING (120.36983993 31.36042417, 120.35511585 31.35581004)",auto;bike;walk,1
,17054,3478,3558,706.2152958747264,,,,"LINESTRING (120.36983993 31.36042417, 120.37720198 31.36503829)",auto;bike;walk,1
,17055,3558,3478,706.2152958747263,,,,"LINESTRING (120.37720198 31.36503829, 120.36983993 31.36042417)",auto;bike;walk,1
,17056,3558,3707,1689.111941941841,,,,"LINESTRING (120.37720198 31.36503829, 120.38456403 31.37426653)",auto;bike;walk,1
,17057,3707,3558,1689.1119419418408,,,,"LINESTRING (120.38456403 31.37426653, 120.37720198 31.36503829)",auto;bike;walk,1
,17058,3707,3782,730.6866094498163,,,,"LINESTRING (120.38456403 31.37426653, 120.39192607 31.37888065)",auto;bike;walk,1
