name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5646,63572,1,primary,,,,121.01033787,31.50346192,"POLYGON ((121.00665685 31.50576899, 121.01401889 31.50576899, 121.01401889 31.50115486, 121.00665685 31.50115486, 121.00665685 31.50576899))"
,5647,7735;7738;7845;7847;7850;7855;7860;9966;17175;17176;35546;35547;35548;35549;35550;35551;35552;35553;35554;35555;35556;35557;35558;35559;35560;35561;35562;35563;35565;35566;35567;35568;35569;35591;35608;35613;35626;35627;35628;36249;36396;36397;36398;36399;36400;36401;38822;38823;38824;38825;38826;40505;40506;53304;63414;63683;63684;63718,58,tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;residential;tertiary;tertiary;tertiary;residential;service;residential;service;residential;residential;service;residential;residential;residential;residential;residential;service;service;service;service;residential;residential;residential;residential;residential;residential;residential;tertiary;residential;residential;tertiary;tertiary;residential;tertiary;residential;residential;residential;residential;residential;residential;residential;residential;service;service;service;footway;footway;residential;tertiary;residential;residential;tertiary,,,,120.29621948,31.50807605,"POLYGON ((120.29253846 31.51038311, 120.29990051 31.51038311, 120.29990051 31.50576899, 120.29253846 31.50576899, 120.29253846 31.51038311))"
,5648,740;6410;6411;6432;7740;7741;16396;16397;35507;35508;35510;35528;35529;35531;35543;35564;35607;35609;36259;36260;36261;36262;36263;36264;36265;36346;38827;38828;38829;38830;39656;39657;39658,33,tertiary;unclassified;unclassified;primary;residential;tertiary;primary;tertiary;primary;primary;residential;unclassified;service;service;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;tertiary;residential;residential;residential;residential;tertiary;tertiary;tertiary,signal;signal,,,120.30358153,31.50807605,"POLYGON ((120.29990051 31.51038311, 120.30726255 31.51038311, 120.30726255 31.50576899, 120.29990051 31.50576899, 120.29990051 31.51038311))"
,5649,7750;35521;35526;35530;35811;35812;35813;35814;35815;35816;35817;35818;35819;35820;35821;35822;35823;35824;35825;35826;35829;35830;35832;35833;35834;35835;35836;35839;35840;35841;35842;35948;36347;36348;36352;36381;36382,37,service;unclassified;service;service;residential;residential;residential;residential;residential;residential;tertiary;residential;residential;residential;service;residential;unclassified;unclassified;residential;residential;residential;residential;residential;residential;residential;residential;service;residential;residential;residential;service;residential;residential;residential;tertiary;tertiary;tertiary,signal;signal,,,120.31094358,31.50807605,"POLYGON ((120.30726255 31.51038311, 120.3146246 31.51038311, 120.3146246 31.50576899, 120.30726255 31.50576899, 120.30726255 31.51038311))"
,5650,3972;3974;6412;8438;8439;8440;8441;8443;8444;8445;8446;8450;8451;8452;34896;34897;35831;35837;35843;35844;35845;35846;35847;35848;35849;35850;35851;35852;35853;35925;35928;35929;35930;35931;35933;35934;35935;35936;35937;35938;35939;35940;35941;35942;35943;35944;35945;35946;35947;35949;58915;58916,52,unclassified;residential;unclassified;service;residential;residential;service;residential;service;residential;unclassified;residential;residential;service;residential;unclassified;tertiary;residential;unclassified;service;residential;service;service;residential;residential;residential;residential;residential;residential;residential;service;residential;service;residential;residential;service;service;residential;service;residential;unclassified;residential;service;residential;service;residential;service;residential;service;service;secondary;secondary,,,,120.31830562,31.50807605,"POLYGON ((120.3146246 31.51038311, 120.32198664 31.51038311, 120.32198664 31.50576899, 120.3146246 31.50576899, 120.3146246 31.51038311))"
,5651,6416;6417;6504;18729;34959;34960;34962;35854;35855;35856;35857;35858;35859;35860;35861;35862;35863;35864;35865;35866;35867;35868;35869;35870;35871;35872;35873;35874;35875;35876;35877;35878;35879;35881;35882;35883;35884;35885;35886;35887;35888;35892;35918;35926;35927;41003;41005;41008,48,unclassified;unclassified;primary;service;residential;tertiary;service;residential;residential;residential;residential;residential;residential;unclassified;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;unclassified;residential;unclassified;residential;unclassified;tertiary,signal;signal,,,120.32566766,31.50807605,"POLYGON ((120.32198664 31.51038311, 120.32934869 31.51038311, 120.32934869 31.50576899, 120.32198664 31.50576899, 120.32198664 31.51038311))"
,5652,3144;6502;6505;6507;6514;9162;18725;18733;18801;34957;34958;35645;35646;35777;35779;35880;35889;35890;35891;35893;36433;36667;36668;39945,24,primary;primary;primary;primary;primary;primary;service;service;primary;primary;secondary;primary;primary;residential;secondary;residential;residential;residential;residential;residential;secondary;residential;residential;residential,,,,120.33302971,31.50807605,"POLYGON ((120.32934869 31.51038311, 120.33671073 31.51038311, 120.33671073 31.50576899, 120.32934869 31.50576899, 120.32934869 31.51038311))"
,5653,18703;18732;34952;35715;35716;35776;35778;35782;35783;35784;35785;35787;35788;35789;35790;35791,16,residential;service;residential;service;service;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,120.34039175,31.50807605,"POLYGON ((120.33671073 31.51038311, 120.34407278 31.51038311, 120.34407278 31.50576899, 120.33671073 31.50576899, 120.33671073 31.51038311))"
,5654,6503;6516;6517;35703;35704;36422;36432;36714;36715;36716;36717;36769;36770;36771;36772;43180;43181;43182;43183,19,primary;primary;primary;unclassified;unclassified;unclassified;residential;tertiary;tertiary;tertiary;tertiary;service;service;unclassified;unclassified;footway;primary;footway;primary,,,,120.3477538,31.50807605,"POLYGON ((120.34407278 31.51038311, 120.35143482 31.51038311, 120.35143482 31.50576899, 120.34407278 31.50576899, 120.34407278 31.51038311))"
,5655,7102;18704;18739;36673;36674;36675;36676;36677;36678;36679;36744;39626;39688;39689;39690;39691;39693;43174;43175;48941;48942;57048;57049;57050;57051;57052;57053;57054,28,secondary;secondary;secondary;residential;residential;secondary;residential;residential;residential;residential;secondary;secondary;secondary;secondary;secondary;secondary;residential;secondary;secondary;residential;residential;residential;residential;residential;service;residential;service;service,,,,120.35511585,31.50807605,"POLYGON ((120.35143482 31.51038311, 120.35879687 31.51038311, 120.35879687 31.50576899, 120.35143482 31.50576899, 120.35143482 31.51038311))"
