name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,38097,5951977030,,,,,footway,1,120.6645044,31.1422901,,,
,38098,5951977034,,,,,footway,0,120.6646571,31.1421396,,,
,38099,5951977036,,,,,footway,1,120.6643702,31.1421238,,,
,38100,5951977038,,,,,footway,1,120.6641991,31.1425989,,,
,38101,5951977049,,,,,tertiary,0,120.6635504,31.1424267,,,
,38102,5951977051,,,,,tertiary,0,120.6636307,31.1418842,,,
,38103,5951977052,,,,,tertiary,0,120.6630313,31.1459907,,,
,38104,5951977056,,,,,primary,0,120.6690384,31.143478,,,
,38105,5951977060,,,,,footway,0,120.6610738,31.1413069,,,
,38106,5951977063,,,,,footway,1,120.6597315,31.1406701,,,
,38107,5951977064,,,,,footway,1,120.6595206,31.1409261,,,
,38108,5951977068,,,,,footway,0,120.6607631,31.1417566,,,
,38109,5951977075,,,,,footway,0,120.6606404,31.1417664,,,
,38110,5951977076,,,,,footway,1,120.6605386,31.1419123,,,
,38111,5951977080,,,,,footway,0,120.6610661,31.141192,,,
,38112,5951977081,,,,,footway,0,120.6611139,31.1411174,,,
,38113,5951977082,,,,,footway,0,120.661277,31.1405895,,,
,38114,5951977086,,,,,footway,0,120.6609776,31.1409806,,,
,38115,5951977096,,,,,footway,0,120.6615255,31.1410708,,,
,38116,5951977100,,,,,footway,0,120.6617947,31.1413102,,,
,38117,5951977104,,,,,footway,0,120.6617794,31.1422653,,,
,38118,5951977109,,,,,footway,0,120.6602341,31.1435231,,,
,38119,5951977110,,,,,footway,0,120.6614841,31.1423145,,,
,38120,5951977111,,,,,footway,1,120.6599195,31.1431121,,,
,38121,5951977118,,,,,footway,1,120.6605906,31.1422423,,,
,38122,5951977119,,,,,footway,0,120.6608483,31.1427071,,,
,38123,5951977120,,,,,footway,0,120.6609948,31.1430761,,,
,38124,5951977121,,,,,footway,0,120.6594976,31.1424852,,,
,38125,5951977122,,,,,footway,0,120.6604766,31.1428768,,,
,38126,5951977123,,,,,footway,1,120.6595513,31.1426526,,,
