name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5803,17670;22745,2,residential;residential,,,,-111.90453376,33.42042907,"POLYGON ((-111.90652523 33.42139177, -111.90254229 33.42139177, -111.90254229 33.41946636, -111.90652523 33.41946636, -111.90652523 33.42139177))"
,5804,48773;48774;48775,3,residential;residential;residential,,,,-111.90055082,33.42042907,"POLYGON ((-111.90254229 33.42139177, -111.89855935 33.42139177, -111.89855935 33.41946636, -111.90254229 33.41946636, -111.90254229 33.42139177))"
,5805,545;546;950;14052;14053;14054;14055;14545;14546;22281;22282;26009;26458;28258;35402;51221;51222;51223,18,residential;residential;secondary;residential;residential;residential;residential;residential;residential;residential;residential;residential;motorway;residential;secondary;residential;residential;residential,,,,-111.89258494,33.42042907,"POLYGON ((-111.89457641 33.42139177, -111.89059346 33.42139177, -111.89059346 33.41946636, -111.89457641 33.41946636, -111.89457641 33.42139177))"
,5806,966;7124;12241;15373;26244;26460;28700;42634,8,secondary;residential;residential;residential;secondary;motorway;residential;secondary,,,,-111.88860199,33.42042907,"POLYGON ((-111.89059346 33.42139177, -111.88661052 33.42139177, -111.88661052 33.41946636, -111.89059346 33.41946636, -111.89059346 33.42139177))"
,5807,12242;15374;15375;28699,4,residential;residential;tertiary;tertiary,,,,-111.88461905,33.42042907,"POLYGON ((-111.88661052 33.42139177, -111.88262758 33.42139177, -111.88262758 33.41946636, -111.88661052 33.41946636, -111.88661052 33.42139177))"
,5808,12318;12319;12462,3,residential;residential;residential,,,,-111.87665316,33.42042907,"POLYGON ((-111.87864464 33.42139177, -111.87466169 33.42139177, -111.87466169 33.41946636, -111.87864464 33.41946636, -111.87864464 33.42139177))"
,5809,6730;6731;7696;8234;8235;12324;17840;17841;28732;36993;36994;50313,12,secondary;secondary;residential;residential;residential;residential;residential;residential;secondary;residential;secondary;residential,,,,-111.87267022,33.42042907,"POLYGON ((-111.87466169 33.42139177, -111.87067875 33.42139177, -111.87067875 33.41946636, -111.87466169 33.41946636, -111.87466169 33.42139177))"
,5810,21165;24068;24136,3,tertiary;tertiary;tertiary,,,,-111.86868728,33.42042907,"POLYGON ((-111.87067875 33.42139177, -111.86669581 33.42139177, -111.86669581 33.41946636, -111.87067875 33.41946636, -111.87067875 33.42139177))"
,5811,3584;21164;24134;24135;24167;38363;38364;38365;38366;44562,10,tertiary;tertiary;tertiary;tertiary;residential;residential;residential;residential;residential;residential,,,,-111.86470434,33.42042907,"POLYGON ((-111.86669581 33.42139177, -111.86271287 33.42139177, -111.86271287 33.41946636, -111.86669581 33.41946636, -111.86669581 33.42139177))"
,5812,7697;9844;44467;49526;49527,5,residential;residential;residential;residential;residential,,,,-111.8607214,33.42042907,"POLYGON ((-111.86271287 33.42139177, -111.85872993 33.42139177, -111.85872993 33.41946636, -111.86271287 33.41946636, -111.86271287 33.42139177))"
,5813,21888;43635;46449,3,secondary;secondary;secondary,,,,-111.85673845,33.42042907,"POLYGON ((-111.85872993 33.42139177, -111.85474698 33.42139177, -111.85474698 33.41946636, -111.85872993 33.41946636, -111.85872993 33.42139177))"
,5814,20980;21887,2,residential;residential,,,,-111.85275551,33.42042907,"POLYGON ((-111.85474698 33.42139177, -111.85076404 33.42139177, -111.85076404 33.41946636, -111.85474698 33.41946636, -111.85474698 33.42139177))"
,5815,12327;21886,2,tertiary;tertiary,,,,-111.84877257,33.42042907,"POLYGON ((-111.85076404 33.42139177, -111.8467811 33.42139177, -111.8467811 33.41946636, -111.85076404 33.41946636, -111.85076404 33.42139177))"
,5816,12320;12326;14137;21858;21885,5,residential;residential;residential;residential;residential,,,,-111.84478963,33.42042907,"POLYGON ((-111.8467811 33.42139177, -111.84279816 33.42139177, -111.84279816 33.41946636, -111.8467811 33.41946636, -111.8467811 33.42139177))"
,5817,21884;37586;38487;38495;38498;38500;38502;45946;50657,9,residential;residential;residential;residential;residential;residential;residential;primary;primary,,,,-111.84080669,33.42042907,"POLYGON ((-111.84279816 33.42139177, -111.83881522 33.42139177, -111.83881522 33.41946636, -111.84279816 33.41946636, -111.84279816 33.42139177))"
,5818,37163;37164;37165;37588;44456;44457;48777;51713;51714,9,residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.83682375,33.42042907,"POLYGON ((-111.83881522 33.42139177, -111.83483227 33.42139177, -111.83483227 33.41946636, -111.83881522 33.41946636, -111.83881522 33.42139177))"
,5819,37160;37161;37162;48330;48331;48776;49731,7,residential;residential;residential;residential;residential;residential;tertiary,,,,-111.8328408,33.42042907,"POLYGON ((-111.83483227 33.42139177, -111.83084933 33.42139177, -111.83084933 33.41946636, -111.83483227 33.41946636, -111.83483227 33.42139177))"
,5820,11843;30637,2,residential;residential,,,,-111.82885786,33.42042907,"POLYGON ((-111.83084933 33.42139177, -111.82686639 33.42139177, -111.82686639 33.41946636, -111.83084933 33.41946636, -111.83084933 33.42139177))"
,5821,12033,1,secondary,,,,-111.82487492,33.42042907,"POLYGON ((-111.82686639 33.42139177, -111.82288345 33.42139177, -111.82288345 33.41946636, -111.82686639 33.41946636, -111.82686639 33.42139177))"
,5822,12034,1,residential,,,,-111.82089198,33.42042907,"POLYGON ((-111.82288345 33.42139177, -111.81890051 33.42139177, -111.81890051 33.41946636, -111.82288345 33.41946636, -111.82288345 33.42139177))"
,5823,1851;21106;30635,3,residential;residential;residential,,,,-111.81690904,33.42042907,"POLYGON ((-111.81890051 33.42139177, -111.81491756 33.42139177, -111.81491756 33.41946636, -111.81890051 33.41946636, -111.81890051 33.42139177))"
,5824,12031;21107,2,tertiary;tertiary,,,,-111.81292609,33.42042907,"POLYGON ((-111.81491756 33.42139177, -111.81093462 33.42139177, -111.81093462 33.41946636, -111.81491756 33.41946636, -111.81491756 33.42139177))"
,5825,4864;12029;23901,3,residential;residential;residential,,,,-111.80894315,33.42042907,"POLYGON ((-111.81093462 33.42139177, -111.80695168 33.42139177, -111.80695168 33.41946636, -111.81093462 33.41946636, -111.81093462 33.42139177))"
,5826,4865;4866;12030;30633;30634,5,secondary;secondary;residential;secondary;secondary,,,,-111.80496021,33.42042907,"POLYGON ((-111.80695168 33.42139177, -111.80296874 33.42139177, -111.80296874 33.41946636, -111.80695168 33.41946636, -111.80695168 33.42139177))"
