name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,25811,7148,7221,128.39077171751921,,40.0,,"LINESTRING (-111.90055082 33.45508632, -111.90055082 33.45701173)",auto,1
,25812,293,212,77.49174660732325,,,,"LINESTRING (-111.74521608 33.29142704, -111.74521608 33.28950164)",auto,1
,25813,212,293,77.49174660732325,,,,"LINESTRING (-111.74521608 33.28950164, -111.74521608 33.29142704)",auto,1
,25814,6546,6478,60.23332180625552,,,,"LINESTRING (-111.92843141 33.4396831, -111.92843141 33.4377577)",auto,2
,25815,6478,6546,60.23332180625552,,,,"LINESTRING (-111.92843141 33.4377577, -111.92843141 33.4396831)",auto,2
,25816,6589,6653,144.54585528430292,1.0,40.0,,"LINESTRING (-111.72131842 33.4396831, -111.72131842 33.4416085)",auto,4
,25817,6653,6589,144.54585528430292,1.0,40.0,,"LINESTRING (-111.72131842 33.4416085, -111.72131842 33.4396831)",auto,4
,25818,6653,6724,106.10506180175135,1.0,40.0,,"LINESTRING (-111.72131842 33.4416085, -111.72131842 33.44353391)",auto,1
,25819,6724,6653,106.10506180175135,1.0,40.0,,"LINESTRING (-111.72131842 33.44353391, -111.72131842 33.4416085)",auto,1
,25820,7777,7776,185.1226629263193,,,,"LINESTRING (-111.67352312 33.47048955, -111.67750606 33.47048955)",auto,1
,25821,7776,7777,185.12266292631926,,,,"LINESTRING (-111.67750606 33.47048955, -111.67352312 33.47048955)",auto,1
,25822,7776,7702,132.8293625004899,,,,"LINESTRING (-111.67750606 33.47048955, -111.67750606 33.46856415)",auto,4
,25823,7702,7776,132.8293625004899,,,,"LINESTRING (-111.67750606 33.46856415, -111.67750606 33.47048955)",auto,4
,25824,6761,6762,298.9495258431499,,,,"LINESTRING (-111.92444847 33.44545931, -111.92046553 33.44545931)",auto,2
,25825,6762,6761,298.9495258431499,,,,"LINESTRING (-111.92046553 33.44545931, -111.92444847 33.44545931)",auto,2
,25826,6761,6841,9.563666989413601,,,,"LINESTRING (-111.92444847 33.44545931, -111.92444847 33.44738471)",auto,1
,25827,6841,6761,9.563666989413601,,,,"LINESTRING (-111.92444847 33.44738471, -111.92444847 33.44545931)",auto,1
,25828,6193,6265,349.6906901744797,,,,"LINESTRING (-111.89656788 33.43005608, -111.89656788 33.43198149)",auto,1
,25829,6265,6193,349.6906901744796,,,,"LINESTRING (-111.89656788 33.43198149, -111.89656788 33.43005608)",auto,1
,25830,6265,6326,65.51423094188914,,,,"LINESTRING (-111.89656788 33.43198149, -111.89656788 33.43390689)",auto,1
,25831,6442,6441,227.72169129816717,1.0,40.0,,"LINESTRING (-111.74919902 33.43583229, -111.75318196 33.43583229)",auto,2
,25832,6441,6442,227.72169129816717,1.0,40.0,,"LINESTRING (-111.75318196 33.43583229, -111.74919902 33.43583229)",auto,2
,25833,6442,6508,90.27047303425093,1.0,40.0,,"LINESTRING (-111.74919902 33.43583229, -111.74919902 33.4377577)",auto,4
,25834,6508,6442,88.51413801445112,1.0,40.0,,"LINESTRING (-111.74919902 33.4377577, -111.74919902 33.43583229)",auto,4
,25835,6508,6507,286.26774022496926,1.5,72.0,,"LINESTRING (-111.74919902 33.4377577, -111.75318196 33.4377577)",auto,2
,25836,6507,6508,286.2677402249692,1.5,72.0,,"LINESTRING (-111.75318196 33.4377577, -111.74919902 33.4377577)",auto,2
,25837,5550,5473,234.33308496681383,,,,"LINESTRING (-111.92843141 33.41465285, -111.92843141 33.41272745)",auto,1
,25838,5473,5550,234.3330849668138,,,,"LINESTRING (-111.92843141 33.41272745, -111.92843141 33.41465285)",auto,1
,25839,7279,7280,116.13146367457098,,,,"LINESTRING (-111.98020966 33.45893713, -111.97622672 33.45893713)",auto,3
,25840,7280,7279,52.065787468418264,,,,"LINESTRING (-111.97622672 33.45893713, -111.98020966 33.45893713)",auto,2
,25841,7356,7280,121.65789211152388,,,,"LINESTRING (-111.97622672 33.46086254, -111.97622672 33.45893713)",auto,2
,25842,7280,7356,121.65789211152388,,,,"LINESTRING (-111.97622672 33.45893713, -111.97622672 33.46086254)",auto,2
,25843,1742,1741,138.15097739617391,,40.0,,"LINESTRING (-111.96427789 33.3260843, -111.96826083 33.3260843)",auto,4
,25844,1741,1742,138.15097739617391,,40.0,,"LINESTRING (-111.96826083 33.3260843, -111.96427789 33.3260843)",auto,4
,25845,1819,1818,208.7920966283469,,40.0,,"LINESTRING (-111.96427789 33.3280097, -111.96826083 33.3280097)",auto,3
,25846,1818,1819,208.7920966283469,,40.0,,"LINESTRING (-111.96826083 33.3280097, -111.96427789 33.3280097)",auto,3
,25847,2028,2109,20.66617133541017,,,,"LINESTRING (-111.7850455 33.33186051, -111.7850455 33.33378591)",auto,1
,25848,2109,2028,20.66617133541017,,,,"LINESTRING (-111.7850455 33.33378591, -111.7850455 33.33186051)",auto,1
,25849,3087,3086,84.48110961285748,1.0,40.0,,"LINESTRING (-111.68547195 33.35881615, -111.68945489 33.35881615)",auto,1
,25850,2922,2923,135.63998525010788,,,,"LINESTRING (-111.76114784 33.35496535, -111.7571649 33.35496535)",auto,1
,25851,2923,2922,135.63998525010788,,,,"LINESTRING (-111.7571649 33.35496535, -111.76114784 33.35496535)",auto,1
,25852,2923,2854,292.896183901121,,,,"LINESTRING (-111.7571649 33.35496535, -111.76114784 33.35303994)",auto,1
,25853,2854,2923,292.89618390112093,,,,"LINESTRING (-111.76114784 33.35303994, -111.7571649 33.35496535)",auto,1
,25854,2905,2906,264.79708550393195,,,,"LINESTRING (-111.84080669 33.35496535, -111.83682375 33.35496535)",auto,1
,25855,2906,2905,264.797085503932,,,,"LINESTRING (-111.83682375 33.35496535, -111.84080669 33.35496535)",auto,1
,25856,2906,2907,196.11360935550795,,,,"LINESTRING (-111.83682375 33.35496535, -111.8328408 33.35496535)",auto,1
,25857,2907,2906,196.11360935550795,,,,"LINESTRING (-111.8328408 33.35496535, -111.83682375 33.35496535)",auto,1
,25858,5398,5314,554.9647962602917,1.0,,,"LINESTRING (-111.92444847 33.41080205, -111.91648259 33.40887664)",auto,1
,25859,5314,5398,554.9647962602915,1.0,,,"LINESTRING (-111.91648259 33.40887664, -111.92444847 33.41080205)",auto,1
,25860,2692,2762,90.9856878120404,,,,"LINESTRING (-111.82089198 33.34918914, -111.82089198 33.35111454)",auto,1
,25861,835,747,135.75399623663438,1.0,,,"LINESTRING (-111.90453376 33.30490486, -111.90453376 33.30297946)",auto,1
,25862,747,835,135.75399623663438,1.0,,,"LINESTRING (-111.90453376 33.30297946, -111.90453376 33.30490486)",auto,1
,25863,7662,7663,224.02677310194426,,,,"LINESTRING (-111.97224378 33.46856415, -111.96826083 33.46856415)",auto,1
,25864,7663,7662,224.0267731019443,,,,"LINESTRING (-111.96826083 33.46856415, -111.97224378 33.46856415)",auto,1
,25865,5221,5129,170.64729644244372,,,,"LINESTRING (-111.92046553 33.40695124, -111.92046553 33.40502584)",auto,3
,25866,5129,5221,170.64729644244377,,,,"LINESTRING (-111.92046553 33.40502584, -111.92046553 33.40695124)",auto,3
,25867,1013,1012,46.25915871538749,1.0,,,"LINESTRING (-111.85275551 33.30875567, -111.85673845 33.30875567)",auto,1
,25868,1012,1013,46.25915871538749,1.0,,,"LINESTRING (-111.85673845 33.30875567, -111.85275551 33.30875567)",auto,1
,25869,5633,5543,79.22868324428711,1.0,40.0,,"LINESTRING (-111.95631201 33.41657826, -111.95631201 33.41465285)",auto,1
,25870,5543,5633,79.22868324428711,1.0,40.0,,"LINESTRING (-111.95631201 33.41465285, -111.95631201 33.41657826)",auto,1
,25871,5712,5633,19.8596307738031,1.0,40.0,,"LINESTRING (-111.95631201 33.41850366, -111.95631201 33.41657826)",auto,1
